Delta_Gibbs,smiles
-5.309,CC1CCC(C(C1)OC(=O)C)C(C)C
-5.645,CC1=C(C2=C(C(=C1OC)C)OC(=CC2=O)C3=CC=C(C=C3)OC)O
-3.92,CC(CCC=C(C)C)CC=O
-5.647,C1=CC=C2C(=C1)C=CN2
-6.496,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2O
-6.53,CC1CCC(C2C13C2C(=CC3)C)C(C)C
-5.719,C1C(C(C(C=C1C(=O)O)O)O)O
-5.675,CC(=O)OCC1=CC=CC=C1
-5.622,CC1CCC2C1C3C(C3(C)C)CCC2=C
-4.883,CC1=CC=C(C=C1)C(C)CCC=C(C)C
-5.086,CC1=CCC(C=C1)C(C)CCC=C(C)C
-6.21,CC1CCC(C2C13C2C(=C)CC3)C(C)C
-7.519,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O
-4.884,CC(=C1CCC(C(C1)C(=C)C)(C)C=C)C
-3.112,C(=O)(C(=O)O)O
-0.917,CCCCCCCCCCCCCCCC(=O)O
